MODZCTA,ev_per_household
10001,0.04678842602093167
10002,0.03359363489023132
10003,0.047559292257497804
10026,0.003671815649531527
10004,0.47092198581560285
10005,0.04169714703730797
10006,0.11785503830288745
10007,0.9792162805802122
10009,0.008570363929946591
10010,0.02054794520547945
10011,0.05735857561415371
10012,0.019552191737622203
10013,0.1079897847500912
10014,0.07093522493933171
10016,0.03975903614457831
10017,0.008541089566020314
10018,0.021739130434782608
10030,0.003367003367003367
10019,0.06875
10021,0.027041499330655958
10022,0.04377104377104377
10023,0.09988713318284424
10024,0.054949190816710576
10025,0.03230857990604138
10027,0.00772640911969601
10028,0.02933935166187936
10029,0.002878618263233648
10031,0.004659832246039142
10032,0.004527005931938807
10033,0.006624344465912227
10034,0.004314063848144953
10037,0.0005384063173007897
10035,0.6510200039611804
10036,0.1188118811881188
10038,0.7822804926499801
10040,0.0023236741388737016
11104,0.006003694581280788
11105,0.18769092542677449
10039,0.004612770089827628
10128,0.06778265642151482
10044,0.12474012474012475
10065,0.048135028130860597
10069,0.04895522388059702
10075,0.015435501653803748
10280,0.009555661729574774
10282,0.02349979018044482
10301,0.01709947042684872
11106,0.013859275053304905
10302,0.0021119324181626186
10303,0.0038996720730302224
10304,0.028251081486713164
10451,0.0022038567493112946
10305,0.02640634876044666
10306,0.03262994336123502
10307,0.016891891891891893
10308,0.009496543537462468
10309,0.03161752173171979
10310,0.009193844962740734
10312,0.03883538040116639
10314,0.041104070596821814
10456,0.005198634388578522
10452,0.0035719601131120704
10453,0.000598157674362962
10454,0.002472187886279357
10455,0.001146131805157593
10457,0.00016825103053756205
10458,0.0021167221046265497
10459,0.00018099547511312217
10460,0.0005626828719333784
10461,0.005520951302378256
11004,0.02185007974481659
11101,0.9257673090649536
10462,0.004153686396677051
10463,0.01088257079368697
10464,0.01956745623069001
10465,0.013290802764486975
10466,0.002310732745515354
10467,0.0015497869043006587
10468,0.0013361328497804924
10469,0.005282341133590407
10470,0.0008821453775582216
11102,0.006292538846795942
11109,
10471,0.02210796915167095
10472,0.002477997094762027
10473,0.0047875523638539795
10474,0.001176470588235294
11103,0.003955375253549696
10475,0.01132852729145211
11201,0.15962131219726994
11203,0.0027076256584453308
11204,0.007633587786259542
11205,0.04158742234056042
11206,0.005340755227922371
11207,0.001899335232668566
11209,0.013408404922219643
11208,0.028824288611640343
11210,0.009671179883945842
11211,0.041025641025641026
11212,0.004199944918755164
11213,0.002355435166647038
11218,0.017769061627146848
11214,0.014628541123436603
11215,0.03606912747636539
11216,0.006488575964657969
11217,0.044526143790849675
11219,0.007956989247311828
11220,0.0057511086474501105
11221,0.0025038975764161194
11222,0.1431395808620008
11223,0.036566762383345296
11224,0.0051055139550714775
11225,0.015771848330992762
11226,0.005629296041716046
11228,0.012480127186009538
11230,0.024748265831282167
11415,0.013913384283754654
11229,0.03155547933459098
11231,0.06980499316855049
11358,0.019261146496815287
11232,0.0024316109422492403
11233,0.0020223810165835242
11234,0.01864951768488746
11235,0.01585305438054952
11236,0.0035093253420606443
11237,0.004342500835096314
11238,0.028844790928419562
11239,0.002584814216478191
11354,0.02418207681365576
11355,0.02225055785782595
11356,0.022205303895444742
11357,0.03337052978372921
11360,0.020451191229179842
11372,0.008200734394124847
11361,0.0199560491774069
11362,0.056466758482534116
11416,0.0018336007334402934
11363,0.03562043795620438
11364,0.04770434055764523
11373,0.2969196003805899
11365,0.046625366807955655
11366,0.02017894536455359
11367,0.022091974752028856
11374,0.016219814803607093
11368,0.4036460572706166
11417,0.005286847181538901
11369,0.17375590770086183
11370,0.1414950946524803
11375,0.04574215660427103
11379,0.01519048384504099
11377,0.11218882690866705
11378,0.012727272727272728
11421,0.0030429821224800305
11422,0.003377110694183865
11385,0.01112703363398803
11411,0.002391772303276728
11412,0.0018099547511312218
11413,0.006679740164235813
11414,0.014845360824742268
11420,0.004151948937225011
11418,0.0036414080110976246
11419,0.002237494006712482
11423,0.006644518272425249
11426,0.02598808879263671
11427,0.011752136752136752
11428,0.0018220708231006892
11436,0.0023752969121140144
11691,0.007794322940902746
11692,0.0013338668800853674
11693,0.009531703273932863
11429,0.00632609214609692
11432,0.022878994102015684
11433,0.0018214936247723133
11434,0.002273787313432836
11435,0.004494959224298465
11694,0.011950360042898728
11697,
99999,
